,word,num
0,股份,4146
1,资产,2997
2,购买,2517
3,发行,2439
4,暨,2267
5,交易,2258
6,关联,2248
7,资金,2183
8,募集,2162
9,有限公司,1782
10,配套,1776
11,报告书,1420
12,支付现金,1206
13,修订稿,1123
14,公司,1066
15,公告,970
16,草案,950
17,报告,946
18,证券,743
19,财务顾问,619
20,独立,608
21,投资,485
22,意见,465
23,摘要,459
24,预案,398
25,科技,307
26,回复,306
27,项目,289
28,公开,275
29,置换,250
30,中国,249
31,控股,242
32,可行性,241
33,子公司,232
34,中,220
35,非,219
36,核查,217
37,股权,213
38,分析,211
39,评估,204
40,有限责任,196
41,反馈,194
42,国际,190
43,收购,177
44,设立,175
45,问询,173
46,函,165
47,集团,165
48,重组,164
49,对外,159
50,合并,158
51,拟,154
52,发行股票,149
53,资产重组,144
54,年度,142
55,全资,139
56,出售,133
57,吸收,128
58,ST,126
59,上海,125
60,申请,124
61,中信,119
62,A股,115
63,换股,114
64,深圳证券交易所,113
65,文件,113
66,股东,108
67,建投,99
68,涉及,98
69,信息,96
70,持续,95
71,督导,94
72,情况,92
73,电气,92
74,招商,90
75,股票,87
76,发展,79
77,事项,78
78,合同,78
79,中信证券,78
80,北京,77
81,权益,77
82,协议,77
83,补充,76
84,变更,76
85,签订,75
86,环境,74
87,电力,73
88,资源,73
89,东方,73
90,集团股份,70
91,价值,68
92,建设,68
93,联合,67
94,矿业,63
95,招商局,63
96,重工,61
97,化工,59
98,专项,59
99,能源,57
100,增资,57
101,国际金融,57
102,签署,54
103,华泰,54
104,兴业,53
105,工程,52
106,新疆,52
107,本次,50
108,油气,49
109,公路,48
110,三维,48
111,洲际,48
112,网络科技,47
113,年,47
114,港,47
115,华北,45
116,高速,45
117,事务所,45
118,深圳,45
119,进展,44
120,达,44
121,新,44
122,江苏,44
123,广发,43
124,科技股份,43
125,转换,42
126,基金,42
127,国泰君安证券股份有限公司,42
128,合资,42
129,电子,41
130,回报,41
131,长城,41
132,转让,41
133,相关,41
134,实施,41
135,公司债券,40
136,智能,40
137,中标,39
138,北部湾,39
139,法律,38
140,意见书,38
141,摊薄,38
142,即期,38
143,说明会,38
144,合作,38
145,物流,38
146,天楹,38
147,化学,37
148,现金,37
149,光电,37
150,律师,36
151,境外,36
152,中安消,35
153,航天,35
154,天翔,35
155,鹏欣,35
156,用途,34
157,西南,34
158,海通,34
159,泰,34
160,上海证券交易所,34
161,三一,34
162,浙江,33
163,旅游,33
164,北方,33
165,金通,33
166,地产,32
167,德,32
168,材,32
169,二次,32
170,披露,31
171,江南,31
172,安徽,31
173,参与,31
174,国泰,30
175,城建,30
176,石油,29
177,院,29
178,国信,28
179,国金,28
180,天泽,27
181,措施,27
182,三钢,27
183,闽光,27
184,工作,27
185,基地,27
186,技术,27
187,天华,27
188,水泥,27
189,可行性研究,27
190,通,27
191,白银,27
192,有色,27
193,材料,26
194,行政许可,26
195,众信,26
196,框架,26
197,华信,26
198,宝鹰,26
199,灵,26
200,审查,26
201,特定,26
202,对象,26
203,世纪,26
204,电器,26
205,园林,25
206,机械,25
207,通知书,25
208,钢研,25
209,神州,25
210,终止,25
211,天,25
212,五洲,25
213,文化,25
214,江山,25
215,环保,25
216,石化,24
217,投资者,24
218,中海,24
219,海兰信,24
220,新宏泰,24
221,盛达,23
222,管理,23
223,钢铁,23
224,通信,23
225,保荐,23
226,渤海,23
227,浙商,23
228,董事会,22
229,产业,22
230,岭南,22
231,资本,22
232,北京市,22
233,合伙,22
234,承销,22
235,新春,22
236,生物,22
237,万华,21
238,西藏,21
239,担保,21
240,填补,21
241,停牌,21
242,盈峰,21
243,高纳,21
244,香港,21
245,北车,21
246,佳讯,20
247,飞鸿,20
248,海峡,20
249,恒逸,20
250,新材,20
251,持有,20
252,赤湾,20
253,时代,20
254,亨通,20
255,华贸,20
256,安泰,20
257,香江,20
258,思维,20
259,西部,20
260,装备,20
261,提供,19
262,兰石,19
263,华鼎,19
264,外运发展,19
265,外运,19
266,中外运,19
267,空运,19
268,方式,19
269,提示性,19
270,高铁,19
271,宁波港,19
272,旋极,19
273,南车,19
274,飞力,19
275,经营,19
276,海越,18
277,海航,18
278,永鼎,18
279,数据,18
280,实业,18
281,围海,18
282,新增,18
283,济柴,18
284,红相,18
285,唐,18
286,山港,18
287,中通,18
288,国脉,18
289,厦门,18
290,中航,17
291,利润分配,17
292,设计,17
293,并购,17
294,迅游,17
295,信,17
296,精密,17
297,矿,17
298,千方,17
299,申万,17
300,配股,17
301,食品,17
302,租赁,17
303,大连,17
304,深圳市,17
305,财务,17
306,瑞尔,17
307,列控,17
308,中铁二局,17
309,烟台万华,16
310,审核,16
311,华东,16
312,重装,16
313,科锐,16
314,筹划,16
315,青岛,16
316,信息产业,16
317,收到,16
318,南山,16
319,下属,16
320,日常,16
321,创业,16
322,远海,16
323,金控,16
324,安信,16
325,黄金,16
326,丝,16
327,参股,16
328,深赤湾,16
329,东兴,16
330,桥梁,16
331,太阳鸟,16
332,常林,16
333,存放,16
334,太平洋,16
335,霞客,16
336,修订版,16
337,合众,16
338,思壮,16
339,蓝帆,16
340,医疗,16
341,智慧,16
342,预,15
343,媒体,15
344,武汉,15
345,东吴,15
346,盛屯,15
347,宏源证券,15
348,金一,15
349,水利,15
350,建工,15
351,三诺,15
352,轮船,15
353,日发,15
354,精机,15
355,海南,15
356,战略,15
357,杰赛,15
358,调整,15
359,久联,15
360,上市,15
361,房,15
362,华力,14
363,创通,14
364,城投,14
365,重机,14
366,星徽,14
367,光大,14
368,估值,14
369,承诺,14
370,复牌,14
371,总结报告,14
372,开发,14
373,佳豪,14
374,腾邦,14
375,航空,14
376,中茵,14
377,天广,14
378,中银国际,14
379,蛇口工业区,14
380,嘉捷,14
381,关联方,14
382,吉艾,14
383,科达,14
384,金,13
385,机电,13
386,长峰,13
387,木,13
388,龙洲,13
389,美亚,13
390,花旗,13
391,民生,13
392,上峰,13
393,控,13
394,董事,13
395,标的,13
396,南京港,13
397,南京,13
398,常铝,13
399,大烨,13
400,电缆,13
401,长航,13
402,凤凰,13
403,三毛,13
404,集装箱,13
405,东旭,13
406,供销,13
407,大集,13
408,风险,13
409,提示,13
410,山西,13
411,动力,12
412,扩股,12
413,重庆,12
414,更新,12
415,PPP,12
416,长城电脑,12
417,传化,12
418,远望,12
419,谷,12
420,成立,12
421,同力,12
422,东方网,12
423,力,12
424,苏交科,12
425,电广,12
426,华茂,12
427,天风,12
428,林森,12
429,猛狮,12
430,新元,12
431,高新,12
432,出资,12
433,派神,12
434,西安,12
435,药业,12
436,中利,12
437,宝通,11
438,软件,11
439,云南,11
440,钢构,11
441,恒力,11
442,柏科,11
443,中伦,11
444,中昌,11
445,印尼,11
446,四通,11
447,海外,11
448,跨境,11
449,天沃,11
450,机场,11
451,海格,11
452,置业,11
453,流动资金,11
454,第二次,11
455,拟以,11
456,认购,11
457,中茂,11
458,中环,11
459,洁能,11
460,宁波,11
461,光学,11
462,中铁,11
463,冀东水泥,10
464,发起,10
465,宝钢股份,10
466,国电,10
467,南瑞,10
468,文山,10
469,化学工程,10
470,通源,10
471,浔兴,10
472,广州,10
473,广汇,10
474,通用,10
475,四创,10
476,大洲,10
477,交运,10
478,如意,10
479,九洲,10
480,证监会,10
481,东土,10
482,实达,10
483,万泽,10
484,泛海,10
485,瑞银,10
486,达华,10
487,无锡,10
488,委托,10
489,港务,10
490,哈投,10
491,事宜,10
492,环球,10
493,恒泰艾普,10
494,井神,10
495,新能源,10
496,数控,10
497,国瓷,9
498,转增,9
499,股本,9
500,汽车,9
501,会计师,9
502,限制性,9
503,激励,9
504,计划,9
505,隆鑫,9
506,河南,9
507,红箭,9
508,神剑,9
509,方圆,9
510,支承,9
511,广西,9
512,风范,9
513,赤峰,9
514,答复,9
515,大杨,9
516,创世,9
517,老白干,9
518,科隆,9
519,精化,9
520,国富,9
521,申报材料,9
522,中工,9
523,江海,9
524,半年度,9
525,中国证监会,9
526,剩余,9
527,超募,9
528,自有,9
529,白云,9
530,四川,9
531,金瑞,9
532,书,9
533,合纵,9
534,深赛格,9
535,加加,9
536,设研院,9
537,中远,9
538,市场,9
539,华龙,9
540,东华,9
541,金科,9
542,中联,9
543,生态,9
544,杭州,9
545,法,9
546,紫,9
547,码头,9
548,孙,8
549,公积金,8
550,中核,8
551,正大,8
552,方大,8
553,集运,8
554,鹏,8
555,茂业,8
556,增持,8
557,延期,8
558,中科,8
559,定向,8
560,中创,8
561,信测,8
562,中捷,8
563,发电,8
564,山鼎,8
565,汇,8
566,前次,8
567,第一,8
568,涪陵,8
569,天利,8
570,苏州,8
571,意向书,8
572,上市公司,8
573,北化,8
574,雷鸣,8
575,科化,8
576,企业,8
577,有限,8
578,年产,8
579,航民,8
580,盛,8
581,圆通,8
582,速递,8
583,闲置,8
584,借款,8
585,黑化,8
586,光环,8
587,网,8
588,天源迪科,8
589,世嘉,8
590,浙江省,8
591,路桥,8
592,成都,8
593,双林,8
594,神州数码,8
595,东北,8
596,设备,8
597,湖南,8
598,兰州,8
599,钢,8
600,八一,8
601,华,8
602,设施,8
603,间接,8
604,雪人,8
605,风帆,8
606,柬埔寨,8
607,轮胎,8
608,意见函,8
609,兴源,8
610,初灵,8
611,风神,8
612,组建,8
613,网络,8
614,浙大,7
615,网新,7
616,沙钢,7
617,特锐,7
618,创意,7
619,深,7
620,道氏,7
621,基础,7
622,山东,7
623,城市,7
624,海陆,7
625,中光,7
626,防雷,7
627,江西,7
628,民爆,7
629,远洋,7
630,国元,7
631,西王,7
632,凯,7
633,气,7
634,智光,7
635,工具,7
636,大港,7
637,欧,7
638,比特,7
639,长江,7
640,轴研,7
641,酒,7
642,隆基,7
643,接受,7
644,临时,7
645,摩登,7
646,大道,7
647,荣之联,7
648,天海,7
649,云南旅游,7
650,节能,7
651,平安,7
652,海际,7
653,凌云,7
654,三次,7
655,哈尔滨,7
656,附,7
657,条件,7
658,生效,7
659,河北宣工,7
660,中企,7
661,信息技术,7
662,德新,7
663,粤泰,7
664,振华,7
665,地点,7
666,宝利,7
667,华西,7
668,金宇,7
669,友利,7
670,道博,7
671,通威,7
672,越南,7
673,制药,6
674,纳川,6
675,天健,6
676,三峡,6
677,受让,6
678,智联,6
679,顺丰,6
680,金融,6
681,华新,6
682,银行,6
683,紫光,6
684,广夏,6
685,回购,6
686,鼎汉,6
687,运输,6
688,皖,6
689,通科技,6
690,长园,6
691,南通,6
692,锻压,6
693,小额贷款,6
694,意向,6
695,中冠,6
696,广东,6
697,分公司,6
698,泰国,6
699,传媒,6
700,华融,6
701,日,6
702,方正,6
703,函之,6
704,沃施,6
705,中原,6
706,资助,6
707,工业,6
708,控股集团,6
709,福建,6
710,核电,6
711,健康,6
712,宏磊,6
713,天津,6
714,航新,6
715,陕西,6
716,藏格,6
717,金马,6
718,京航安,6
719,中弘,6
720,备忘录,6
721,建机,6
722,特钢,6
723,国浩,6
724,恒泰,6
725,国创,6
726,摩根士丹利,6
727,华鑫,6
728,生产,6
729,娱乐,6
730,主体,6
731,长春,6
732,惠博普,6
733,服务,6
734,政府,6
735,电建,6
736,鼎泰新材,5
737,爱康,5
738,弘业,5
739,委员会,5
740,怡亚通,5
741,开山,5
742,贷款,5
743,北京航天,5
744,联储,5
745,基础设施,5
746,万里,5
747,扬,5
748,深桑达,5
749,云内,5
750,国机,5
751,船舶,5
752,英华,5
753,国海,5
754,徐工,5
755,稿,5
756,第三次,5
757,万讯,5
758,自控,5
759,易事,5
760,特,5
761,宝胜,5
762,第三期,5
763,建筑,5
764,义乌,5
765,长方,5
766,元,5
767,中昌大,5
768,一期,5
769,高,5
770,中国银行,5
771,港中旅,5
772,天津港,5
773,股份公司,5
774,类,5
775,瑞信,5
776,常山股份,5
777,综合,5
778,修订,5
779,影响,5
780,正泰,5
781,沪科,5
782,中心,5
783,海鸥,5
784,云南省,5
785,中安,5
786,三联,5
787,虹普,5
788,累计,5
789,光线,5
790,缆,5
791,珠海,5
792,厦华,5
793,投,5
794,意向性,5
795,管业,5
796,南,5
797,负债,5
798,旅行社,5
799,安通,5
800,瑞泽,5
801,玉龙,5
802,丹化,5
803,星源,5
804,达成谅解,5
805,奇信,5
806,运营,5
807,达意,5
808,隆,5
809,美,5
810,万顺,5
811,二六,5
812,美尚,5
813,防务,5
814,海运,5
815,雅克,5
816,港航,5
817,中钢,5
818,天源,5
819,天神,5
820,群兴,5
821,玩具,5
822,云铝股份,5
823,保税,5
824,奥拓,5
825,深深宝,5
826,天坛生物,5
827,对盛达,4
828,国安,4
829,国,4
830,安盟,4
831,供应链,4
832,润邦,4
833,内容,4
834,新研,4
835,核准,4
836,新型建材,4
837,人力资源,4
838,融钰,4
839,博士,4
840,凯迪,4
841,矿业集团,4
842,宁夏,4
843,新能,4
844,至正,4
845,凯撒,4
846,增加,4
847,铝业,4
848,日升,4
849,正平,4
850,森源,4
851,大禹,4
852,钒,4
853,钛,4
854,业绩,4
855,锦纶,4
856,城,4
857,金刚石,4
858,交通,4
859,利亚德,4
860,深交所,4
861,计算机,4
862,许可,4
863,号,4
864,中洲,4
865,道,4
866,工程项目,4
867,中化,4
