,word,num
0,股份,3047
1,资产,2075
2,资金,1996
3,募集,1897
4,购买,1811
5,发行,1698
6,关联,1614
7,交易,1613
8,暨,1551
9,配套,1395
10,有限公司,1363
11,公告,1220
12,支付现金,1141
13,公司,1133
14,报告书,945
15,报告,802
16,证券,728
17,投资,704
18,修订稿,654
19,草案,596
20,意见,500
21,独立,485
22,财务顾问,419
23,子公司,371
24,设立,319
25,核查,277
26,对外,259
27,摘要,251
28,科技,250
29,股权,249
30,情况,242
31,预案,239
32,公开,209
33,年度,208
34,回复,202
35,控股,200
36,全资,192
37,有限责任,183
38,项目,183
39,非,182
40,专项,169
41,拟,165
42,存放,162
43,可行性,157
44,中,150
45,收购,144
46,反馈,142
47,发行股票,131
48,新,129
49,置换,128
50,增资,127
51,信息,126
52,上海,126
53,评估,123
54,分析,120
55,补充,120
56,函,118
57,资产重组,117
58,问询,117
59,出售,117
60,东方,115
61,北京,111
62,重组,110
63,集团,106
64,ST,106
65,金融,105
66,软件,92
67,进展,90
68,事项,87
69,转让,85
70,互联网,83
71,事务所,80
72,深圳,77
73,参与,77
74,申请,77
75,深圳证券交易所,77
76,管理,76
77,联合,75
78,变更,74
79,年,74
80,涉及,73
81,广发,72
82,实施,71
83,法律,71
84,网络,71
85,文化,70
86,律师,70
87,基金,70
88,金控,69
89,财富,68
90,超募,68
91,A股,67
92,股东,67
93,担保,67
94,电子,64
95,高新,63
96,华泰,63
97,股票,62
98,参股,61
99,文件,61
100,智能,60
101,浙江,60
102,招商,60
103,意见书,58
104,中国,58
105,国信,54
106,长亮,53
107,技术,52
108,权益,52
109,协议,51
110,小额贷款,50
111,服务,50
112,中科,50
113,董事,49
114,签署,48
115,本次,47
116,国泰君安证券股份有限公司,46
117,熊猫,46
118,提供,46
119,发起,44
120,持续,44
121,中信,44
122,金融服务,44
123,合伙,43
124,国际,43
125,半年度,43
126,督导,43
127,建投,43
128,昆仑,41
129,万维,41
130,相关,41
131,二三,41
132,四五,41
133,长城,41
134,天城,40
135,海航,40
136,传媒,40
137,价值,40
138,恒大,39
139,胜,39
140,投,39
141,深圳市,39
142,闲置,39
143,集团股份,38
144,可行性研究,38
145,汉鼎宇佑,38
146,传化,37
147,终止,37
148,鉴证,37
149,邦,37
150,金财,36
151,华鑫,36
152,保荐,35
153,信雅达,35
154,科技股份,35
155,中信证券,35
156,希望,35
157,德,34
158,东吴,34
159,计划,33
160,汉鼎,33
161,力,33
162,纸业,33
163,腾邦,33
164,国际金融,33
165,讯,33
166,华铭,33
167,实达,32
168,智慧,32
169,上海证券交易所,32
170,金融信息,31
171,董事会,31
172,发展,31
173,梅泰诺,31
174,北京市,31
175,金一,30
176,流动资金,30
177,合资,30
178,能源,30
179,旋极,29
180,停牌,29
181,地产,29
182,石,29
183,岘,29
184,苏宁,29
185,自有,28
186,日常,27
187,通信,27
188,用友,27
189,资本,27
190,前次,27
191,杭州,27
192,天源迪科,27
193,创业,27
194,汇金,26
195,产业,26
196,通,26
197,普邦,26
198,广东,26
199,智联,25
200,民生,25
201,宝硕,25
202,天,25
203,合作,25
204,旅游,25
205,网,25
206,国金,25
207,钢铁,25
208,赢时,24
209,全新,24
210,广州,24
211,基础,24
212,金证,24
213,金,24
214,华菱,24
215,通讯,23
216,大连,23
217,海立,23
218,美达,23
219,企业,23
220,高,23
221,伟达,23
222,药业,23
223,润,23
224,海通,23
225,恒生,22
226,信息技术,22
227,战略,22
228,宏磊,22
229,用途,22
230,提示性,22
231,云商,22
232,二次,22
233,美都,22
234,唐人,21
235,神,21
236,筹划,21
237,调整,21
238,有限,21
239,环球,21
240,高鸿,21
241,投入,21
242,兴业,21
243,神州,21
244,西南,21
245,济柴,21
246,网络科技,20
247,租赁,20
