,word,num
0,股份,2263
1,资产,2030
2,购买,1513
3,发行,1458
4,暨,1294
5,交易,1294
6,关联,1287
7,资金,1079
8,募集,1052
9,配套,891
10,报告书,873
11,有限公司,855
12,公司,625
13,报告,561
14,修订稿,545
15,支付现金,537
16,草案,497
17,公告,349
18,证券,340
19,独立,316
20,财务顾问,309
21,评估,296
22,摘要,254
23,项目,244
24,预案,198
25,投资,198
26,置换,195
27,拟,183
28,股权,180
29,有限责任,161
30,ST,159
31,集团,154
32,法律,146
33,意见,144
34,事务所,138
35,律师,135
36,涉及,135
37,收购,135
38,出售,126
39,意见书,124
40,科技,123
41,公开,118
42,资产重组,116
43,股东,111
44,权益,109
45,控股,100
46,子公司,99
47,价值,94
48,非,86
49,合并,84
50,北京市,83
51,回复,82
52,年度,81
53,中,77
54,核查,70
55,能源,69
56,西部,67
57,情况,66
58,对外,65
59,专项,62
60,中国,61
61,重组,60
62,电子,59
63,PDF,59
64,重庆,58
65,开发,57
66,问询,57
67,可行性,57
68,吸收,56
69,补充,54
70,发行股票,54
71,高新,52
72,北部湾,52
73,_.,50
74,全资,49
75,药业,49
76,持有,48
77,税收,48
78,分析,48
79,国创,47
80,特定,47
81,新材,47
82,对象,46
83,反馈,46
84,函,45
85,换股,43
86,四川,43
87,发展,43
88,新疆,42
89,矿业,42
90,北京,41
91,优惠政策,40
92,建设,40
93,设立,39
94,享受,39
95,深圳证券交易所,38
96,集团股份,37
97,上海,36
98,资源,36
99,存放,36
100,化工,36
101,银星,35
102,变更,35
103,港,35
104,新,34
105,电力,33
106,生物,32
107,国际,32
108,三维,31
109,审计报告,31
110,成都,31
111,转让,31
112,电器,30
113,广西,30
114,联合,30
115,四通,30
116,相关,28
117,宁夏,28
118,陕西,28
119,建投,28
120,华泰,27
121,中信,26
122,年,26
123,物流,26
124,广发,25
125,金杜,25
126,申请,25
127,传媒,25
128,长城,24
129,路桥,24
130,西安,24
131,白云,23
132,超募,23
133,航天,23
134,兴业,23
135,签订,23
136,增资,23
137,财务报表,23
138,股票,23
139,A股,23
140,浙江,23
141,文件,23
142,招商,23
143,德,22
144,四川双马,22
145,防城港,22
146,环保,21
147,天城,21
148,南洋,21
149,协议,21
150,制药,21
151,西南,21
152,云南,21
153,东方,21
154,久联,21
155,国泰君安证券股份有限公司,21
156,信息,20
157,得润,20
158,康盛,20
159,泰,20
160,现金,20
161,年月日,20
162,中伦,20
163,事项,19
164,通信,19
165,中铝,19
